AIRPORT_SEQ_ID,AIRPORT_ID,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
1000101,10001,Afognak Lake Airport,58.10944444,-152.90666667
1000301,10003,Bear Creek Mining Strip,65.54805556,-161.07166667
1000401,10004,Lik Mining Camp,68.08333333,-163.16666667
1000501,10005,Little Squaw Airport,67.57000000,-148.18388889
1000601,10006,Kizhuyak Bay,57.74527778,-152.88277778
1000701,10007,Klawock Seaplane Base,55.55472222,-133.10166667
1000801,10008,Elizabeth Island Airport,59.15694444,-151.82916667
1000901,10009,Augustin Island,59.36277778,-153.43055556
1001001,10010,Columbia County,42.28888889,-73.71027778
1001002,10010,Columbia County,42.29138889,-73.71027778
1001101,10011,Grand Canyon West,35.99027778,-113.81638889
1001102,10011,Grand Canyon West,35.98611111,-113.81694444
1001103,10011,Grand Canyon West,35.99027778,-113.81638889
1001104,10011,Grand Canyon West,35.98611111,-113.81694444
1001201,10012,Blairstown Airport,40.97111111,-74.99750000
1001301,10013,Crosbyton Municipal,33.62388889,-101.24083333
1001401,10014,Blair Lake,64.36416667,-147.36138889
1001402,10014,Blair Lake,64.36361111,-147.36388889
1001501,10015,Deadmans Bay Airport,57.06666667,-153.93777778
1001601,10016,Hallo Bay Airport,58.45750000,-154.02333333
1001701,10017,Red Lake Airport,57.27722222,-154.34222222
1001801,10018,Shell Lake Airport,61.96388889,-151.55583333
1001901,10019,Navigator Airstrip,65.65555556,-165.35638889
1002001,10020,Roland Norton Memorial Airstrip,66.76583333,-160.15250000
1002002,10020,Roland Norton Memorial,66.76611111,-160.15277778
1002101,10021,Pillar Bay Airport,56.59805556,-134.24277778
1002201,10022,Johnstone Point Airport,60.48138889,-146.58222222
1002202,10022,Johnstone Point Airport,60.48222222,-146.58222222
1002203,10022,Johnstone Point Airport,60.48166667,-146.58416667
1002204,10022,Johnstone Point Airport,60.48222222,-146.58222222
1002205,10022,Johnstone Point Airport,60.48166667,-146.58416667
1002301,10023,Tikchik Lodge Airport,59.95555556,-158.48055556
1002302,10023,Tikchik Lodge Airport,59.95555556,-158.48055556
1002401,10024,Bell Creek Airport,60.78388889,-159.54027778
1002501,10025,Cinnabar Airport,60.78527778,-158.86444444
1002601,10026,Mountaintop Mine Airport,61.39027778,-157.99555556
1002701,10027,Whitebear Airport,61.18888889,-159.85833333
1002801,10028,Puviaq Airport,70.71861111,-154.38833333
1002802,10028,Puviaq Airport,70.71555556,-154.40694444
1002901,10029,Arley Lake Airport,70.74694444,-155.36083333
1003001,10030,Port Vita Airport,58.06555556,-153.07250000
1003101,10031,Kantishna Airport,63.54166667,-150.99388889
1003102,10031,Kantishna Airport,63.54111111,-150.99500000
1003103,10031,Kantishna Airport,63.54166667,-150.99388889
1003104,10031,Kantishna Airport,63.54111111,-150.99500000
1003301,10033,Alpine Airstrip,70.34416667,-150.94472222
1003401,10034,Serpentine Airport,65.85138889,-164.70277778
1003501,10035,Driftwood Bay Airport,53.97277778,-166.85694444
1003601,10036,Bradley Lake Airport,59.77611111,-151.96361111
1003701,10037,Chilkat Lake Airport,59.33166667,-135.89666667
1003801,10038,Nugget Creek Airport,59.28833333,-136.17388889
1003901,10039,Ivotuk Airstrip,68.48333333,-155.73333333
1004001,10040,Pogo Mines Airport,64.44000000,-144.93638889
1004101,10041,Ayakulik River Airport,57.25388889,-154.42222222
1004201,10042,Kiluda Bay Airport,57.32305556,-153.14944444
1004301,10043,Terror Lake Airport,57.96388889,-153.05833333
1004401,10044,Selief Bay Airport,58.98277778,-153.18333333
1004701,10047,Laura Lake Airport,58.36194444,-152.31222222
1004901,10049,Deep Bay Airport,55.56027778,-131.65555556
1005001,10050,Kako Airport,61.89888889,-161.43805556
1005002,10050,Kako Airport,61.89888889,-161.43972222
1005101,10051,Molly Creek Airport,64.09722222,-143.26666667
1005201,10052,Ptarmigan Lake Airport,61.86611111,-141.15972222
1005301,10053,Cape Simpson Airport,71.05694444,-154.72833333
1005401,10054,Kogru River Airport,70.57611111,-152.27111111
1005402,10054,Kogru River Airport,70.57472222,-152.25888889
1005501,10055,Teshepkuk Lake Airport,70.35833333,-153.19666667
1005601,10056,Trident Basin Seaplane Base,57.78083333,-152.39111111
1005801,10058,Lake Florence Airport,57.81666667,-134.58333333
1005901,10059,Lake Hasselborg Airport,57.70000000,-134.26666667
1006001,10060,Distin Lake Airport,57.61666667,-134.36666667
1006101,10061,Port Hobron Airport,57.15000000,-153.15000000
1006201,10062,Mooseville Airstrip Airport,70.28444444,-152.21194444
1006301,10063,Big Bay Airport,58.56250000,-152.59611111
1006401,10064,Wien Lake Airport,64.35277778,-151.27500000
1006501,10065,Silver Salmon Creek Airport,59.96388889,-152.68222222
1006601,10066,Blear Lake Airport,64.33333333,-147.50000000
1006701,10067,Cannery Bay Airport,53.68333333,-166.75000000
1006901,10069,Johnsons Landing,56.03666667,-160.26611111
1007001,10070,International Seafoods Airport,58.26666667,-157.53333333
1007002,10070,International Seafoods Airport,58.26666667,-157.53333333
1007101,10071,Cosna River Airport,64.50000000,-151.66666667
1007201,10072,Ivatuk Airport,68.48777778,-155.75750000
1007401,10074,Cape Sarichef AFS,54.58333333,-164.91250000
1007402,10074,Cape Sarichef Airport,54.58250000,-164.91444444
1007501,10075,Taylor Mountain,60.86777778,-157.39194444
1007601,10076,Coal Creek,65.31111111,-143.13527778
1007602,10076,Coal Creek,65.31138889,-143.13555556
1007603,10076,Coal Creek,65.31166667,-143.13416667
1007604,10076,Coal Creek,65.31138889,-143.13555556
1007605,10076,Coal Creek,65.31166667,-143.13416667
1007801,10078,Karluk Portage Airport,57.53833333,-154.16444444
1007901,10079,Hope Airport,60.90555556,-149.62388889
1007902,10079,Hope Airport,60.90416667,-149.62388889
1007903,10079,Hope Airport,60.90722222,-149.62277778
1007904,10079,Hope Airport,60.90416667,-149.62388889
1007905,10079,Hope Airport,60.90722222,-149.62277778
1008001,10080,Viekoda Bay Airport,57.84944444,-153.11527778
1008201,10082,Cathedral Strip,55.74000000,-162.12527778
1008301,10083,Village Islands Airport,57.77416667,-153.54472222
1008401,10084,Bear Cove Farm,59.73833333,-151.03000000
1008501,10085,Chinitna Bay Airport,59.83333333,-152.58472222
1008601,10086,McKinley National Park,63.73250000,-148.91055556
1008701,10087,Dog Fish Bay,59.24111111,-151.87722222
1008801,10088,Malina Bay Airport,58.17194444,-152.89416667
1008901,10089,Red Fox Bay Airport,58.46444444,-152.59305556
1009001,10090,Shearwater Airport,57.34333333,-152.89722222
1009101,10091,Lake,71.03000000,-154.44361111
1009201,10092,Cape Simpson No. 1,71.50166667,-154.03388889
1009301,10093,Cape Simpson No. 7,70.57388889,-155.32138889
1009401,10094,Cape Simpson #1,70.66277778,-154.83666667
1009501,10095,Nikiski Private Airstrip,60.69027778,-151.28888889
1009601,10096,Petrof Point Airport,59.37638889,-150.76500000
1009701,10097,Denali West Lodge Private,63.75555556,-147.93000000
1009801,10098,Big River Airport,61.85944444,-154.27666667
1010001,10100,Carry Inlet Airport,58.58305556,-152.44583333
1010201,10102,Montague Island Airport,59.92500000,-147.51666667
