LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-01,101.6822,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-02,101.2238,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-03,100.8054,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-04,100.5178,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-05,100.3106,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-06,100.1161,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-07,99.8925,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-08,99.65459,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-09,99.43542,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-10,99.26199,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-11,99.11231,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2008-12,98.95785,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-01,98.78211,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-02,98.60406,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-03,98.45729,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-04,98.3715,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-05,98.32264,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-06,98.28603,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-07,98.25237,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-08,98.23161,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-09,98.25388,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-10,98.35749,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-11,98.53384,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2009-12,98.78766,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-01,99.1245,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-02,99.46066,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-03,99.67955,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-04,99.6887,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-05,99.59399,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-06,99.52669,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-07,99.57436,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-08,99.68436,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-09,99.77995,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-10,99.81413,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-11,99.83785,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2010-12,99.93309,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-01,100.1563,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-02,100.4106,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-03,100.5499,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-04,100.4523,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-05,100.2088,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-06,99.92566,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-07,99.67293,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-08,99.47306,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-09,99.35685,
ZAF,BCI,AMPLITUD,LTRENDIDX,M,2011-10,99.3668,
